Name;For Timeseries;For Scatter;Renamed (unit);Info
Ba (Âµg/L);Yes;Yes;Barium (Âµg/L);The samples for Ba were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Ba concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Ca (mg/L);Yes;Yes;Calcium (mg/L);The samples for Ca were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Ca concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Fe (Âµg/L);Yes;Yes;Iron (Âµg/L);The samples for Fe were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Fe concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
K (mg/L);Yes;Yes;Potassium (mg/L);The samples for K were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and K concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Mg (mg/L);Yes;Yes;Magnesium (mg/L);The samples for Mg were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Mg concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Mn (Âµg/L);Yes;Yes;Manganese (Âµg/L);The samples for Mn were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Mn concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Na (mg/L);Yes;Yes;Sodium (mg/L);The samples for Na were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Na concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
P (mg/L);Yes;Yes;Phosphite (mg/L);The samples for P were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and P concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Si (mg/L);Yes;Yes;Silicate (mg/L);The samples for Si were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Si concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Sr (Âµg/L);Yes;Yes;Strontium (Âµg/L);The samples for Sr were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Sr concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Pb (Âµg/L);No;No;Lead (Âµg/L);The samples for Pb were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Pb concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Cr (Âµg/L);No;No;Chromium (Âµg/L);The samples for Cr were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Cr concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
V (Âµg/L);No;No;Vanadium (Âµg/L);The samples for V were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and V concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Co (Âµg/L);No;No;Cobalt (Âµg/L);The samples for Co were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Co concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Ni (Âµg/L);No;No;Nickel (Âµg/L);The samples for Ni were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Ni concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Cu (Âµg/L);No;No;Copper (Âµg/L);The samples for Cu were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Cu concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Zn (Âµg/L);No;No;Zinc (Âµg/L);The samples for Zn were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Zn concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Day of Year;No;Yes;Day of Year (JJJ);Day of year
Year;No;Yes;Year (YYY);Year
Month;No;Yes;Month (MM);Month
Discharge;Yes;Yes;Discharge (m³/s);Discharge data is taken from ArcticGRO (Shicklomanov et al. 2021).
